CustomerID,Name,Age,Gender,EducationQualification,MonthlyEarning,MonthlyExpenditure,EmploymentStatus,EmploymentDuration,RentPaymentHistory,UtilityPaymentHistory,IncomeToExpenditureRatio,CreditPaymentHistory,CreditCardLimitUsage,CreditMix,CreditHistoryLength,InsuranceConsistency,NewCredit,CreditScore
4082cbb9-48bd-4b3e-a2f5-df2badaa44ca,Ruben Clark,29,Male,Diploma,5847,3511.87,Unemployed,1-2 years,No history,Good (90-80% on-time),1.66,Always On Time,0.2707,Credit Card + Multiple Loan Types,3-5 Years,No Insurance,34,66.92
f6e39356-a814-4562-9a00-3f16b9469bcf,Nicholas Rasmussen,26,Male,Diploma,10166,5011.81,Part-Time,2-5 years,Good (90-80% on-time),Excellent (100% on-time),2.03,3-5 Late Payments in Last 12 Months,0.13938,Only Loans,5-10 Years,All Active and Paid On Time,6,71.37
267eddce-df8f-4197-9a4a-99b2e806133c,Jason Taylor,24,Female,Diploma,6797,2578.08,Part-Time,6-12 months,Excellent (100% on-time),Poor(<70% on-time),2.64,3-5 Late Payments in Last 12 Months,0.37652,Only Loans,<6 Months,All Active and Paid On Time,90,48.42
a9e27ba9-952e-4abb-94dd-5061555736f8,Claudia Rice,45,Female,High School,14680,7719.22,Unemployed,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.9,1-2 Late Payments in Last 12 Months,0.09486,Only Loans,10+ Years,All Active but One Missed Renewal,24,72.47
4f6b58c8-598d-4aec-aaaf-e5432434a678,Sara Lawson,31,Male,Postgraduate,5174,3639.17,Part-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.42,3-5 Late Payments in Last 12 Months,0.31486,Only Loans,<6 Months,All Active but One Missed Renewal,52,53.74
a981b098-b2cf-452d-a7f3-33b3f7baf55e,Michael Johnson,48,Male,Graduate,8724,6712.57,Full-Time,1-2 years,Excellent (100% on-time),Good (90-80% on-time),1.3,3-5 Late Payments in Last 12 Months,0.5526,Only Loans,1-3 Years,All Active and Paid On Time,94,49.04
b576255e-9854-4f22-a102-f9c964575bc4,Thomas Mills,69,Female,Graduate,13339,8249.51,Part-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.62,3-5 Late Payments in Last 12 Months,0.54011,Credit Card + One Loan Type,6-12 Months,No Insurance,62,49.35
8f158449-4f40-422f-95b0-2530f020e992,Michael Thompson,36,Male,Postgraduate,16166,10570.96,Full-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.53,Always On Time,0.12061,Credit Card + Multiple Loan Types,10+ Years,Irregular Payments/Expired,62,79.82
54170a17-caaa-4bbe-a4bb-f962606e0e1c,Penny Waters,64,Female,Graduate,6684,2809.75,Self-Employed,2-5 years,Excellent (100% on-time),Fair(80-70% on-time),2.38,Always On Time,0.00834,No Credit,6-12 Months,All Active and Paid On Time,83,66.7
b3ecb951-ab8c-4f97-a0b7-1785d02ce0c1,Gregory Johnson,33,Female,High School,2781,1313.74,Full-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),2.12,Defaulted/Collection,0.08894,Only Credit Card,1-3 Years,All Active and Paid On Time,69,51.6
ff4625af-bd20-463b-b275-b5f3d436a7a8,Sandra Ingram,22,Male,Graduate,11482,4559.93,Full-Time,Less than 6 months,Fair(80-70% on-time),Poor(<70% on-time),2.52,1-2 Late Payments in Last 12 Months,0.03615,Only Credit Card,5-10 Years,All Active but One Missed Renewal,49,67.42
17ec889c-86c1-46cb-a996-30f7af77520e,Kenneth Harmon,52,Female,Graduate,11845,5325.24,Unemployed,1-2 years,Good (90-80% on-time),Good (90-80% on-time),2.22,Always On Time,0.40047,Credit Card + One Loan Type,1-3 Years,All Active and Paid On Time,12,72.83
822c4d32-6c64-4c15-aba3-01cba561e1e9,Erin Nash,29,Male,Postgraduate,12739,5540.6,Contract,2-5 years,Poor(<70% on-time),Fair(80-70% on-time),2.3,6+ Late Payments in Last 12 Months,0.38975,Only Loans,5-10 Years,Some Regular Policies,50,49.54
4f11d8dc-5cd3-4369-84aa-c1b75ca0c428,David Smith,42,Male,Graduate,3099,1895.56,Contract,Less than 6 months,Excellent (100% on-time),Fair(80-70% on-time),1.63,Always On Time,0.24162,Only Loans,3-5 Years,All Active but One Missed Renewal,18,70.25
577bc55a-36d5-4494-b37f-d50d2e25b5ee,Matthew Morris,69,Female,High School,4825,3076.48,Self-Employed,Less than 6 months,Excellent (100% on-time),Good (90-80% on-time),1.57,1-2 Late Payments in Last 12 Months,0.21544,Only Loans,<6 Months,All Active and Paid On Time,49,59.71
31274148-7c7c-404e-8422-d03ef29a6339,Norman Porter,38,Female,Diploma,1747,1514.59,Unemployed,1-2 years,Excellent (100% on-time),Fair(80-70% on-time),1.15,Always On Time,0.39642,Credit Card + Multiple Loan Types,1-3 Years,All Active and Paid On Time,2,72.37
27aa7cbc-2337-4bbc-bffe-77c839feb99c,Kathryn Morgan,53,Male,Diploma,15659,6535.16,Contract,6-12 months,Excellent (100% on-time),Good (90-80% on-time),2.4,Defaulted/Collection,0.08657,Only Loans,6-12 Months,No Insurance,35,47.77
c9c23e69-d82c-4565-8bb9-07ec13c11754,Jeffrey Jones,40,Female,Graduate,5919,4054.55,Part-Time,5+ years,Excellent (100% on-time),Good (90-80% on-time),1.46,1-2 Late Payments in Last 12 Months,0.21431,Credit Card + One Loan Type,<6 Months,Some Regular Policies,6,67.06
8a2e6a93-c558-4bb2-81f7-f3fb19e45c6a,Alyssa Guerra,33,Male,Graduate,4673,3693.33,Unemployed,2-5 years,Excellent (100% on-time),Good (90-80% on-time),1.27,3-5 Late Payments in Last 12 Months,0.40569,No Credit,1-3 Years,All Active and Paid On Time,15,53.92
86cac6f4-e238-4e93-bd17-c5e8d5ca69ab,Bridget White,56,Female,Diploma,4789,3046.5,Full-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.57,3-5 Late Payments in Last 12 Months,0.09483,Credit Card + One Loan Type,10+ Years,No Insurance,69,65.31
e05b46c5-5636-4094-a974-31db09a9d1c1,James Hood,62,Female,PhD,15870,7189.14,Unemployed,2-5 years,Good (90-80% on-time),Fair(80-70% on-time),2.21,Always On Time,0.84081,Only Credit Card,<6 Months,All Active and Paid On Time,98,46.01
98e52499-218c-4e1c-9e37-4f7ac42cbc39,Daniel Brown,59,Male,Graduate,4221,1931.23,Part-Time,1-2 years,Good (90-80% on-time),Excellent (100% on-time),2.19,1-2 Late Payments in Last 12 Months,0.67602,Credit Card + Multiple Loan Types,<6 Months,All Active but One Missed Renewal,56,57.76
2e4bebc4-2989-4880-a77d-1be96070b6a1,Tony Thomas,56,Male,Diploma,13860,4484.43,Part-Time,Less than 6 months,Excellent (100% on-time),Good (90-80% on-time),3.09,1-2 Late Payments in Last 12 Months,0.38312,Credit Card + One Loan Type,10+ Years,No Insurance,17,71.48
9feefdff-c566-4a81-b15e-54f6d4d30795,Philip Huff,31,Male,High School,7160,3460.19,Full-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),2.07,Defaulted/Collection,0.1504,Only Credit Card,1-3 Years,All Active but One Missed Renewal,38,51.61
b89f72f3-2a60-4652-a714-7668cf1d7d3a,Marilyn Henry,48,Female,High School,5484,4095.24,Part-Time,2-5 years,Excellent (100% on-time),Good (90-80% on-time),1.34,6+ Late Payments in Last 12 Months,0.19419,Only Credit Card,3-5 Years,All Active but One Missed Renewal,23,56.28
5d42b9e9-692e-47b6-8b2f-6d5c700b5d5f,Tracy Rodriguez,22,Male,Diploma,7335,2409.63,Self-Employed,Less than 6 months,Excellent (100% on-time),No History,3.04,6+ Late Payments in Last 12 Months,0.12009,Only Credit Card,10+ Years,Some Regular Policies,5,61.74
f836f571-3cce-476c-b836-c448ad261ec5,Richard Moore,52,Male,High School,10584,4567.81,Unemployed,6-12 months,Poor(<70% on-time),Fair(80-70% on-time),2.32,1-2 Late Payments in Last 12 Months,0.16008,Only Credit Card,5-10 Years,All Active but One Missed Renewal,91,56.81
c09cb506-48f1-496d-9c4f-fb4671b701aa,Jacqueline Roberts,40,Female,High School,7368,5332.51,Unemployed,6-12 months,Fair(80-70% on-time),Good (90-80% on-time),1.38,1-2 Late Payments in Last 12 Months,0.42251,Credit Card + One Loan Type,5-10 Years,All Active and Paid On Time,54,61.9
3be79df4-72ec-416e-88a7-23e9bfa016c2,Jennifer Tran,46,Female,Diploma,16347,12580.5,Unemployed,6-12 months,Excellent (100% on-time),Good (90-80% on-time),1.3,1-2 Late Payments in Last 12 Months,0.24566,Credit Card + Multiple Loan Types,5-10 Years,Some Regular Policies,15,71.74
f7315749-4f39-49a8-bd3a-258288b4f474,Christopher Garcia,60,Male,High School,7188,4120.1,Full-Time,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.74,3-5 Late Payments in Last 12 Months,0.88458,Credit Card + One Loan Type,3-5 Years,All Active and Paid On Time,75,51.65
e76adca9-7811-4802-88cc-7cfecf01f944,Kenneth Clark,28,Male,Postgraduate,2412,1733.85,Unemployed,5+ years,Good (90-80% on-time),Excellent (100% on-time),1.39,3-5 Late Payments in Last 12 Months,0.96093,Only Credit Card,3-5 Years,All Active and Paid On Time,17,48.92
ada58417-5e2a-432d-b1ab-0b56d5c9fdc7,Cassidy Johnson,35,Male,High School,15507,8261.68,Part-Time,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.88,6+ Late Payments in Last 12 Months,0.69137,Only Loans,3-5 Years,All Active and Paid On Time,21,51.95
70cafdd8-fc04-4f08-9207-0158f2771f63,Jason Woodward,64,Male,Graduate,10573,4186.36,Unemployed,2-5 years,Poor(<70% on-time),Excellent (100% on-time),2.53,6+ Late Payments in Last 12 Months,0.80876,Credit Card + One Loan Type,1-3 Years,Some Regular Policies,60,41.92
c7332304-4822-4120-84f9-eccd7630a8a7,Krista Davis,29,Female,Graduate,7121,3837.43,Full-Time,5+ years,Good (90-80% on-time),Poor(<70% on-time),1.86,Always On Time,0.25512,Credit Card + Multiple Loan Types,6-12 Months,All Active but One Missed Renewal,43,71.73
6b2d5b09-8707-4ad4-80be-7e3561c2645a,Deborah Gregory,26,Female,PhD,3542,2295.15,Part-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.54,6+ Late Payments in Last 12 Months,0.66502,No Credit,6-12 Months,All Active but One Missed Renewal,89,35.99
331f63fb-d11f-48c0-a97c-a4fff75d599f,Ronald Brown,27,Male,High School,10423,9055.84,Unemployed,6-12 months,Excellent (100% on-time),Good (90-80% on-time),1.15,3-5 Late Payments in Last 12 Months,0.058,Only Loans,1-3 Years,No Insurance,60,52.87
df7d0dd7-236e-4608-9acb-394acd1f5318,Sheena Hayes,61,Male,Diploma,13523,4614.73,Unemployed,1-2 years,Good (90-80% on-time),Poor(<70% on-time),2.93,1-2 Late Payments in Last 12 Months,0.96022,Only Loans,3-5 Years,All Active but One Missed Renewal,18,52.29
7b07fd31-a424-4f23-8d5b-a7cd400035f0,Olivia Dorsey,34,Male,PhD,13845,8368.42,Self-Employed,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.65,3-5 Late Payments in Last 12 Months,0.67021,Only Loans,3-5 Years,All Active and Paid On Time,47,56.47
ef2ddcc4-8df6-41da-9f07-c1a5dfc620ce,Angela Bradshaw,55,Female,Postgraduate,8181,4068.84,Contract,1-2 years,Good (90-80% on-time),Excellent (100% on-time),2.01,6+ Late Payments in Last 12 Months,0.31685,Only Loans,3-5 Years,No Insurance,73,48.8
8412a335-d88c-456d-b61e-5fdb1a435206,Richard Beasley,24,Male,Postgraduate,13271,8028.78,Full-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.65,1-2 Late Payments in Last 12 Months,0.77304,Only Loans,5-10 Years,All Active but One Missed Renewal,60,58.12
1578d709-48f9-43d0-9fea-e1e0d9e604b3,Teresa Carter,63,Male,Diploma,4737,1489.24,Contract,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),3.18,Always On Time,0.0158,Only Credit Card,3-5 Years,All Active and Paid On Time,32,79.89
73069588-45d5-468d-a90a-3abbc35b9fea,Cody Conley,30,Female,High School,4820,2351.27,Self-Employed,1-2 years,Good (90-80% on-time),Good (90-80% on-time),2.05,1-2 Late Payments in Last 12 Months,0.37624,Only Credit Card,6-12 Months,All Active but One Missed Renewal,39,57.84
d4bf7a4b-25b8-442f-836b-15c7e7c225da,Thomas Bennett,57,Female,Graduate,13267,10506.41,Full-Time,5+ years,Excellent (100% on-time),Excellent (100% on-time),1.26,Defaulted/Collection,0.89566,Only Loans,<6 Months,Some Regular Policies,67,30.1
e916da57-f248-43ab-977a-8a5f6ffe33b3,Brian Stokes,59,Male,PhD,9339,5905.66,Full-Time,1-2 years,Excellent (100% on-time),Fair(80-70% on-time),1.58,6+ Late Payments in Last 12 Months,0.2632,Credit Card + One Loan Type,6-12 Months,All Active but One Missed Renewal,52,54.21
e27718c5-737d-4fb6-9113-76e038d77b9a,Donald Wallace,26,Male,Graduate,6039,3444.34,Full-Time,Less than 6 months,Excellent (100% on-time),Poor(<70% on-time),1.75,Always On Time,0.66791,Only Credit Card,10+ Years,All Active but One Missed Renewal,7,65.35
6a36af18-06d3-4b93-ae33-688d597e6845,Sydney Smith,67,Female,Graduate,10630,5010.08,Contract,2-5 years,Good (90-80% on-time),Excellent (100% on-time),2.12,3-5 Late Payments in Last 12 Months,0.3601,Credit Card + One Loan Type,3-5 Years,Irregular Payments/Expired,55,59.05
5fbbf0b1-8083-49c8-a57e-01c90da23e5c,Justin Figueroa,44,Male,Diploma,8329,3988.14,Full-Time,6-12 months,Good (90-80% on-time),Excellent (100% on-time),2.09,Always On Time,0.39236,Only Credit Card,5-10 Years,Some Regular Policies,45,67.93
14e4180c-fe99-46a3-a2db-c8503c5bf3a7,Erika Brown,19,Male,Postgraduate,1730,916.66,Part-Time,6-12 months,Excellent (100% on-time),Good (90-80% on-time),1.89,1-2 Late Payments in Last 12 Months,0.74594,Only Credit Card,6-12 Months,All Active and Paid On Time,81,48.87
519554e3-0737-4c86-b97b-5f515ffa46ef,Lisa Salazar,22,Female,High School,3937,3154.89,Part-Time,6-12 months,Good (90-80% on-time),Excellent (100% on-time),1.25,1-2 Late Payments in Last 12 Months,0.91021,Credit Card + Multiple Loan Types,5-10 Years,All Active but One Missed Renewal,11,61.3
b6f6dbf1-d6d4-41cc-995d-82f8ee4a9b5d,Mrs. Melissa Robinson,46,Female,Diploma,5162,4544.25,Part-Time,2-5 years,Excellent (100% on-time),Good (90-80% on-time),1.14,1-2 Late Payments in Last 12 Months,0.16672,Credit Card + One Loan Type,5-10 Years,Some Regular Policies,0,74.42
25637cc3-ca97-4bf5-95d5-96afa663d2cd,Bethany Haynes,54,Female,Graduate,13052,7350.8,Contract,5+ years,Excellent (100% on-time),Good (90-80% on-time),1.78,Always On Time,0.27689,Credit Card + One Loan Type,5-10 Years,All Active and Paid On Time,82,74.22
eada79a3-4970-4d9a-89ce-3cfb2339ba19,Katherine Weaver MD,55,Male,Graduate,16199,8682.85,Self-Employed,2-5 years,Good (90-80% on-time),Excellent (100% on-time),1.87,6+ Late Payments in Last 12 Months,0.48779,Only Loans,1-3 Years,All Active but One Missed Renewal,21,53.4
d4c3a832-b231-460b-b8f2-ce6bd46b415d,Bailey Hughes,36,Female,Diploma,9429,7617.98,Part-Time,6-12 months,Good (90-80% on-time),Poor(<70% on-time),1.24,6+ Late Payments in Last 12 Months,0.61382,Only Credit Card,5-10 Years,Some Regular Policies,3,45.85
781799ff-b49e-44cc-8243-69e72387eaf6,Anthony Proctor,25,Female,High School,3224,1793.01,Part-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.8,1-2 Late Payments in Last 12 Months,0.46779,Credit Card + One Loan Type,10+ Years,All Active but One Missed Renewal,22,70.29
e7e646c7-0158-4463-9d87-76a072d78bdd,Jessica Martinez,65,Male,Graduate,9974,6295.7,Part-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.58,Always On Time,0.80553,Only Loans,10+ Years,All Active and Paid On Time,89,59.61
3735262d-4184-4b03-84dd-7054144823f7,Jason Foster,62,Male,Diploma,13444,5896.07,Unemployed,5+ years,Excellent (100% on-time),Poor(<70% on-time),2.28,Always On Time,0.76809,Credit Card + One Loan Type,<6 Months,All Active and Paid On Time,17,60.62
f0b2a5d1-8c7e-4f42-a646-eaf9d5c0244d,Christopher Roy,18,Female,Graduate,8243,6150.11,Full-Time,2-5 years,Fair(80-70% on-time),Excellent (100% on-time),1.34,Always On Time,0.40524,Only Loans,3-5 Years,Some Regular Policies,32,66.43
6c5a6c93-871c-4884-9bdf-90f2ba2c0f19,Elizabeth Rowland,39,Female,High School,10680,6612.98,Full-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.62,Always On Time,0.04061,Credit Card + One Loan Type,<6 Months,All Active but One Missed Renewal,61,70.75
3cd5fd7f-49c1-4669-86b3-3fe61c76bdf6,Deborah Curry,69,Male,Graduate,3832,3009.73,Contract,2-5 years,Excellent (100% on-time),Poor(<70% on-time),1.27,6+ Late Payments in Last 12 Months,0.1945,Credit Card + One Loan Type,10+ Years,Some Regular Policies,18,60.77
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Allison Sharp,34,Male,Graduate,11176,8588.08,Part-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),1.3,1-2 Late Payments in Last 12 Months,0.48695,Credit Card + One Loan Type,10+ Years,All Active but One Missed Renewal,65,65.89
9f708368-cb3c-48ca-a392-57316b79afcc,Kimberly Turner,24,Female,High School,10378,4452.19,Unemployed,5+ years,Excellent (100% on-time),Excellent (100% on-time),2.33,Always On Time,0.92751,Only Loans,1-3 Years,All Active and Paid On Time,71,55.66
d6312a80-1c61-4ec2-9014-2131750565f5,Paul Chaney,42,Female,Diploma,2693,1964.22,Full-Time,5+ years,Good (90-80% on-time),Good (90-80% on-time),1.37,Always On Time,0.56757,Only Credit Card,10+ Years,All Active but One Missed Renewal,23,67.75
893ad232-98c3-43ca-bff4-cec6e7b7b4c6,Sarah Smith,62,Male,High School,9415,7344.01,Contract,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.28,Defaulted/Collection,0.53039,Credit Card + Multiple Loan Types,5-10 Years,All Active and Paid On Time,10,55.82
93364f7e-83ef-49f3-a1c7-cc8a04351b64,Adam Espinoza,21,Female,High School,14769,7497.69,Full-Time,2-5 years,Excellent (100% on-time),Good (90-80% on-time),1.97,1-2 Late Payments in Last 12 Months,0.72397,Only Credit Card,3-5 Years,Some Regular Policies,40,54.73
4a90cd0c-24c1-43b9-b7f2-85723defa849,Tyler Richard,53,Male,PhD,7516,3033.2,Part-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),2.48,1-2 Late Payments in Last 12 Months,0.15229,Only Credit Card,3-5 Years,All Active and Paid On Time,70,69.63
5a5226e6-9d64-4932-8066-853d6de299a1,Carol Ingram,23,Female,Diploma,4365,1316.39,Full-Time,6-12 months,Excellent (100% on-time),Good (90-80% on-time),3.32,1-2 Late Payments in Last 12 Months,0.14692,Only Credit Card,1-3 Years,No Insurance,81,61.56
2ff3cde4-6aa4-4c9f-9217-04753d959e3f,Paula Blackburn,48,Male,Postgraduate,14321,8170.73,Unemployed,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.75,Always On Time,0.3454,No Credit,10+ Years,Irregular Payments/Expired,4,69.9
8603156a-15ea-4bcf-ab10-21ceaa143cd8,Cynthia Johnson,36,Male,Diploma,15194,7771.12,Unemployed,1-2 years,Excellent (100% on-time),Poor(<70% on-time),1.96,Defaulted/Collection,0.99485,Only Loans,6-12 Months,All Active and Paid On Time,54,28.86
f4124360-1153-4e99-9c50-8720f982f4e0,Kenneth Johnson,61,Female,Graduate,16662,10546.14,Part-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.58,Always On Time,0.87594,Credit Card + Multiple Loan Types,5-10 Years,No Insurance,26,64.51
c9525185-81e0-4a5e-8b48-f49686abd4e7,Steven Bailey,56,Female,Postgraduate,15226,6285.67,Unemployed,2-5 years,Good (90-80% on-time),Good (90-80% on-time),2.42,3-5 Late Payments in Last 12 Months,0.68011,Only Credit Card,1-3 Years,All Active and Paid On Time,42,50.89
0534a101-8ddc-4719-81f3-8dd4fd034ada,Daniel Smith,44,Male,Graduate,6756,5511.54,Self-Employed,2-5 years,Good (90-80% on-time),Poor(<70% on-time),1.23,Always On Time,0.39115,Credit Card + One Loan Type,5-10 Years,All Active and Paid On Time,53,70.38
0b251279-785a-45d0-9f92-a62163f4c69d,Hunter Williams,27,Female,Graduate,7888,3586.3,Unemployed,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),2.2,1-2 Late Payments in Last 12 Months,0.55467,Only Credit Card,6-12 Months,All Active and Paid On Time,74,53.06
5f90bed6-fb25-464d-a30a-a767a2bb522b,Susan Trujillo,43,Female,Graduate,15902,6931.01,Unemployed,6-12 months,Excellent (100% on-time),Excellent (100% on-time),2.29,6+ Late Payments in Last 12 Months,0.30355,Only Loans,1-3 Years,All Active and Paid On Time,4,59.34
5b6a8102-0428-4378-bf50-23f440ef3935,William Wilson,36,Female,Diploma,2812,1654.66,Full-Time,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.7,6+ Late Payments in Last 12 Months,0.67431,Credit Card + One Loan Type,10+ Years,All Active and Paid On Time,17,60.26
3dba6da8-5844-49fc-914b-9547c9dc72b8,Courtney Morgan,56,Male,PhD,16648,9977.32,Contract,Less than 6 months,Excellent (100% on-time),Poor(<70% on-time),1.67,1-2 Late Payments in Last 12 Months,0.41885,Credit Card + One Loan Type,3-5 Years,Some Regular Policies,62,59.29
1a89b71e-a0d5-42c8-a837-fe68bba205ca,Mitchell Merritt,20,Female,Postgraduate,10024,4300.81,Part-Time,5+ years,Fair(80-70% on-time),Fair(80-70% on-time),2.33,3-5 Late Payments in Last 12 Months,0.12022,Only Credit Card,1-3 Years,Some Regular Policies,44,57.86
c1b5b5ca-bc35-46df-94f7-9dbac5811d2d,Jared Gordon,62,Female,PhD,16311,7553.89,Full-Time,Less than 6 months,Poor(<70% on-time),Poor(<70% on-time),2.16,Always On Time,0.21509,Only Credit Card,5-10 Years,Irregular Payments/Expired,21,66.97
5a304528-0b59-4562-a227-219f551ff086,Kristina Neal,30,Male,High School,4971,1997.46,Full-Time,Less than 6 months,Good (90-80% on-time),Good (90-80% on-time),2.49,Defaulted/Collection,0.60869,Credit Card + Multiple Loan Types,1-3 Years,Some Regular Policies,6,49.55
a48e40f1-d042-4dfa-96ab-087a8bc78e81,Cory Parsons,67,Female,Postgraduate,8106,5926.1,Unemployed,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.37,3-5 Late Payments in Last 12 Months,0.69456,No Credit,1-3 Years,All Active and Paid On Time,91,41.35
af475b49-c775-4395-9494-05f02cd2a404,Christopher Horn,45,Female,PhD,14216,10833.35,Unemployed,1-2 years,Good (90-80% on-time),Excellent (100% on-time),1.31,1-2 Late Payments in Last 12 Months,0.09602,Only Credit Card,3-5 Years,Some Regular Policies,36,64.99
7a8104de-b205-47bb-bb16-f75776f186ab,Christopher Simmons,37,Male,High School,11141,6432.78,Contract,2-5 years,Excellent (100% on-time),Poor(<70% on-time),1.73,1-2 Late Payments in Last 12 Months,0.80834,Only Loans,10+ Years,Some Regular Policies,41,52.63
2285b2ef-cfbe-4fe9-aea9-c542a1b970d0,Joshua Reed,45,Male,High School,9066,6604.15,Unemployed,1-2 years,Good (90-80% on-time),Excellent (100% on-time),1.37,Always On Time,0.82435,Credit Card + One Loan Type,5-10 Years,All Active but One Missed Renewal,5,65.55
f1901b7e-c6b4-49ef-b74e-ba9310275b53,Kimberly Brewer,25,Female,Postgraduate,14577,10809.74,Unemployed,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.35,6+ Late Payments in Last 12 Months,0.72308,Only Loans,<6 Months,Irregular Payments/Expired,74,33.38
339b77a8-4b1f-4d7b-8977-c513752a7d25,Ronald Kramer,58,Female,Graduate,6853,2624.46,Full-Time,5+ years,Excellent (100% on-time),Good (90-80% on-time),2.61,1-2 Late Payments in Last 12 Months,0.68359,Only Loans,5-10 Years,No Insurance,99,54.83
e2c328aa-3310-4475-8a86-22250b36e356,Ann Hobbs,56,Male,Postgraduate,5207,4580.63,Full-Time,Less than 6 months,Excellent (100% on-time),Excellent (100% on-time),1.14,1-2 Late Payments in Last 12 Months,0.23187,Credit Card + One Loan Type,1-3 Years,All Active and Paid On Time,98,63.97
4f612217-eef1-4694-90ca-e32d0aba590e,Richard Potter,18,Male,High School,6706,5315.3,Full-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.26,Defaulted/Collection,0.91962,Credit Card + One Loan Type,6-12 Months,All Active and Paid On Time,31,38.85
d0be73ee-fd37-4539-a5f2-02f983f02dc7,Terry Carr,20,Female,Postgraduate,16406,6934.65,Full-Time,Less than 6 months,Good (90-80% on-time),Good (90-80% on-time),2.37,Always On Time,0.26857,Only Credit Card,5-10 Years,Some Regular Policies,96,65.3
095ffa81-40d9-4bce-b930-ba208b040f49,Tiffany Wilson,30,Female,Diploma,14177,5836.66,Full-Time,Less than 6 months,Good (90-80% on-time),Excellent (100% on-time),2.43,Always On Time,0.1825,No Credit,6-12 Months,All Active but One Missed Renewal,41,66.19
493e904d-30ec-4796-a59b-457fc0d7ac73,Jon Gonzalez,45,Female,High School,7507,2818.1,Part-Time,1-2 years,Good (90-80% on-time),Excellent (100% on-time),2.66,1-2 Late Payments in Last 12 Months,0.63853,Only Credit Card,1-3 Years,Some Regular Policies,39,55.07
0c3ce284-c7e5-4bbb-9cb5-1c535b62a8df,Mr. Jacob Moore,66,Male,High School,15047,5763.41,Unemployed,6-12 months,No history,Excellent (100% on-time),2.61,Always On Time,0.3641,Only Credit Card,<6 Months,Some Regular Policies,83,51.38
45f18619-54f9-4429-a7de-02ccdda4f4a7,Janet Larson,42,Female,Postgraduate,6517,4880.56,Unemployed,6-12 months,Excellent (100% on-time),Good (90-80% on-time),1.34,3-5 Late Payments in Last 12 Months,0.93303,No Credit,10+ Years,No Insurance,79,36.93
6fdc0bad-5e36-4127-8ca1-b45c1fdd980a,Margaret Knight,50,Male,Graduate,2855,1661.02,Self-Employed,5+ years,Excellent (100% on-time),Excellent (100% on-time),1.72,3-5 Late Payments in Last 12 Months,0.46025,Credit Card + One Loan Type,5-10 Years,Some Regular Policies,47,63.73
7092947d-be49-49ec-a667-d3bbe3b56360,Gloria Odom,55,Male,Graduate,13681,10531.09,Unemployed,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.3,Always On Time,0.16372,Credit Card + Multiple Loan Types,<6 Months,No Insurance,45,67.24
56cb1ab0-62fb-46d7-b4db-ca07e506f670,Casey Foster,23,Male,Diploma,8609,6437.41,Part-Time,2-5 years,Good (90-80% on-time),Poor(<70% on-time),1.34,Always On Time,0.95753,Credit Card + One Loan Type,1-3 Years,All Active but One Missed Renewal,97,48.48
b12b6680-7f07-4cb9-afd3-40c0f945f2fd,Daryl Olson,61,Female,Postgraduate,2949,1954.5,Unemployed,2-5 years,Excellent (100% on-time),Excellent (100% on-time),1.51,Always On Time,0.51543,Only Credit Card,1-3 Years,All Active but One Missed Renewal,41,62.85
cc1b4157-ec9f-4c54-9e0a-72ab7f5db163,James Raymond,62,Female,Diploma,3871,2755.46,Part-Time,6-12 months,Excellent (100% on-time),Excellent (100% on-time),1.4,Always On Time,0.51856,Only Loans,<6 Months,All Active but One Missed Renewal,86,55.02
15260718-cd18-4a82-8447-ceab84ef4324,Denise Flores,49,Female,Postgraduate,11212,3487.08,Full-Time,1-2 years,Excellent (100% on-time),Excellent (100% on-time),3.22,Always On Time,0.3858,Only Loans,10+ Years,Some Regular Policies,75,73.38
